CRN,CODE,TITLE,CR,DATE,DAYS,TIME,COST
13920,CIS148M,Introduction to Programming using JAVA HYBRID Online plus in class Wednesdays,3,8/28-12/15,W,2-4pm,$788
13921,CIS158M,Introduction to Programming using C# (C),3,8/28-12/15,,Online,$788
14393,CIS210M,Data Structures and Elementary Algorithms (P),4,8/28-12/15,,Online,"$1,014"
13922,CIS220M,Object-Oriented Programming (P) HYBRIDOnline plus in class Wednesdays,3,8/28-12/15,W,8-10am,$788
13923,CIS233M,Oracle Database Administration I (P),3,8/28-12/15,,Online,$788
14281,CIS291M,Capstone Senior Seminar (P),3,8/28-12/15,,Online,$788
17800,CSCN210M,Computer Science in Action I - Technology Innovation (P) HYBRIDOnline plus in class Thursdays,4,8/28-12/15,R,2-4pm,"$1,014"
13924,CYBD100M,Introduction to Computer Forensics HYBRID Online plus in class Tuesdays,3,8/28-12/15,T,11-1pm,$788
13925,CYBD100M,Introduction to Computer Forensics HYBRID Online plus in class Mondays,3,8/28-12/15,M,8-10am,$788
17801,CYBD110M,Investigations and Evidence Recovery (P/C) HYBRIDOnline plus in class Mondays,4,8/28-12/15,M,2-4pm,"$1,014"
14263,CYBD200M,Certified Ethical Hacker (P),4,8/28-12/15,,Online,"$1,014"
13926,CYBD210M,Operating System Artifacts (P) HYBRIDOnline plus in class Wednesdays,4,8/28-12/15,W,2-4:30pm,"$1,014"
13927,CYBD215M,PC Forensics (P/C) HYBRIDOnline plus in class Tuesdays,4,8/28-12/15,T,8-10am,"$1,014"
13928,CYBD220M,Security + Preparation (P),4,8/28-12/15,,Online,"$1,014"
14442,CYBD235M,Network Intrusions (P) HYBRIDOnline plus in class Tuesdays,4,8/28-12/15,T,2-4pm,"$1,014"
13929,ECE100M,Early Childhood Growth and Development,3,8/28-12/15,,Online,$678
13930,ECE100M,Early Childhood Growth and Development,3,8/28-12/15,W,11am-1:30pm,$678
13931,ECE100M,Early Childhood Growth and Development,3,8/28-12/15,W,6:30-9pm,$678
14479,ECE100M,Early Childhood Growth and Development,3,9/25-12/15,,Online,$678
13932,ECE104M,Foundations of Early Childhood Education,3,8/28-12/15,M,11am-1:30pm,$678
13933,ECE104M,Foundations of Early Childhood Education,3,8/28-12/15,,Online,$678
13934,ECE104M,Foundations of Early Childhood Education,3,8/28-12/15,M,6:30-9pm,$678
13935,ECE104M,Foundations of Early Childhood Education,3,10/23-12/15,,Online,$678
14186,ECE112M,Preschool Practicum: Learning Environment,3,8/28-12/15,M,2-3:40pm,$788
14187,ECE112M,Preschool Practicum: Learning Environment Theory Taken with CRN 14186,0,8/28-12/15,,Off Campus,
14188,ECE112M,Preschool Practicum: Learning Environment Theory Taken with CRN 14186,0,8/28-12/15,,Off Campus,
13936,ECE116M,Child Health Safety and Nutrition,3,8/28-12/15,,Online,$678
13937,ECE116M,Child Health Safety and Nutrition,3,8/28-12/15,T,6:30-9pm,$678
13938,ECE116M,Child Health Safety and Nutrition,3,10/23-12/15,,Online,$678
13939,ECE200M,Math and Science for Young Children (P),3,8/28-12/15,T,3-5:30pm,$678
13940,ECE201M,Childrens Individualized and Special Needs (P),3,8/28-12/15,,Online,$678
13941,ECE202M,Student Teaching Practicum (P)Thursdays and Off Campus M W F,4,8/28-12/15,R,4:30-5:20pm,"$1,234"
14189,ECE204M,Developmentally Appropriate Curriculum for Infants and Toddlers (P),3,8/28-12/15,T,6:30-9pm,$678
13942,ECE214M,Developmentally Appropriate Guidance and Discipline for Young Children (P),3,8/28-12/15,R,6:30-9pm,$678
13943,ECE250M,Childcare Administration and Management (P),3,8/28-12/15,,Online,$678
13944,ECON134M,Macroeconomics,3,8/28-12/15,,Online,$678
13945,ECON134M,Macroeconomics,3,8/28-12/15,F,8-10:30am,$678
13946,ECON134M,Macroeconomics,3,8/28-12/15,T,6:30-9pm,$678
13947,ECON134M,Macroeconomics,3,8/28-10/21,,Online,$678
13948,ECON135M,Microeconomics (P),3,8/28-12/15,,Online,$678
13949,ECON135M,Microeconomics (P),3,8/28-12/15,W,11am-1:30pm,$678
13950,ECON135M,Microeconomics (P),3,10/23-12/15,,Online,$678
14256,ENGL095M,Reading and Writing II (P),4,9/25-12/15,M W,2-4:15pm,$904
14257,ENGL095M,Reading and Writing II (P),4,8/28-12/15,M W,11am-12:40pm,$904
14258,ENGL095M,Reading and Writing II (P),4,8/28-12/15,T R,8-9:40am,$904
14259,ENGL095M,Reading and Writing II (P),4,8/28-12/15,T R,11am-12:40pm,$904
14260,ENGL095M,Reading and Writing II (P),4,8/28-12/15,M W,5-6:40pm,$904
14261,ENGL095M,Reading and Writing II (P),4,8/28-12/15,T R,2-3:40pm,$904
14394,ENGL095M,Reading and Writing II (P),4,8/28-12/15,T R,5-6:40pm,$904
13955,ENGL110M,College Composition I (P),4,8/28-12/15,,Online,$904
13956,ENGL110M,College Composition I (P),4,8/28-12/15,,Online,$904
13957,ENGL110M,College Composition I (P),4,8/28-12/15,T R,8-9:40am,$904
13958,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,M W,11am-12:40pm,$904
13959,ENGL110M,College Composition I (P)With permission from English Program CoordinatorStudents are required to bring their own laptop/tablet,4,10/23-12/15,M W,8-11:20am,$904
13960,ENGL110M,College Composition I (P)Students are required to bring their own laptop/tablet,4,8/28-12/15,F,8-11:20am,$904
13961,ENGL110M,College Composition I (P),4,8/28-12/15,T,11am-2:20pm,$904
